Bulan,NOPOL,Kategori Site,Site Name,BU Site,Type Armada,Klasifikasi Kendaraan,Usia (Year),Owner,DPP,Nominal Downtime,DPP Net (setelah downtime)
Aug-24,A8355ZY,HUB,HUB ALAM SUTERA (AHI),AHI,CDE LC,NIAGA,14,MR,4289160.0,0,4289160.0
Aug-24,A8274ZY,HUB,HUB PURI MALL (AHI),AHI,CDE LC,NIAGA,14,MR,4289160.0,0,4289160.0
Aug-24,A8449ZY,HUB,HUB CIBUBUR (AHI),AHI,CDE LC,NIAGA,14,MR,4289160.0,0,4289160.0
Aug-24,A8966ZY,HUB,HUB ARTHA GADING (AHI),AHI,CDE LC,NIAGA,14,MR,4289160.0,0,4289160.0
Aug-24,A8962ZY,HUB,HUB PURI MALL (AHI),AHI,CDE LC,NIAGA,14,MR,4289160.0,0,4289160.0
Aug-24,A8040ZV,HUB,HUB KOTA KASABLANKA (AHI),AHI,CDE LC,NIAGA,14,MR,4289160.0,0,4289160.0
Aug-24,A8030ZV,HUB,HUB GANDARIA (AHI),AHI,CDE LC,NIAGA,14,MR,4289160.0,0,4289160.0
Jun-25,A8655XY,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,15,MR,5669000.0,0,5669000.0
Aug-24,N8560BH,HUB,HUB LP SAWOJAJAR (AHI) ( HUB,AHI,CDE LC,NIAGA,13,MR,4346820.0,0,4346820.0
Aug-24,BK8299MH,RDC,TAMORA AHI,AHI,CDE LC,NIAGA,12,MR,4544910.0,0,4544910.0
Aug-24,BK8172LM,RDC,TAMORA AHI,AHI,CDE LC,NIAGA,12,MR,4544910.0,0,4544910.0
Aug-24,BK8135LM,RDC,TAMORA AHI,AHI,CDE LC,NIAGA,12,MR,4544910.0,0,4544910.0
Aug-24,BK8146LM,RDC,TAMORA AHI,AHI,CDE LC,NIAGA,12,MR,4544910.0,0,4544910.0
Aug-24,A8463ZW,HUB,HUB LP BINTARO (AHI),AHI,CDE LC,NIAGA,11,MR,4432380.0,0,4432380.0
Aug-24,A8799XZ,HUB,HUB ARTHA GADING (AHI),AHI,CDE PICK UP,NIAGA,11,MR,4205460.0,0,4205460.0
Jun-25,A8690XY,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,15,MR,5669000.0,0,5669000.0
Jun-25,A8658XY,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,15,MR,5669000.0,0,5669000.0
Jun-25,A8507XY,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,15,MR,5669000.0,0,5669000.0
Jun-25,A8446ZY,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,14,MR,5782000.0,0,5782000.0
